"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 08월 12일","3,047.01","3,161.85","3,237.89","2,980.41","36.06K","-3.66%"
"2021년 08월 11일","3,162.71","3,139.69","3,273.26","3,121.62","25.96K","0.74%"
"2021년 08월 10일","3,139.33","3,161.37","3,230.45","3,053.51","29.07K","-0.72%"
"2021년 08월 09일","3,162.05","3,011.23","3,185.37","2,895.64","34.54K","4.92%"
"2021년 08월 08일","3,013.69","3,159.32","3,188.54","2,950.07","31.46K","-4.61%"
"2021년 08월 07일","3,159.39","2,891.41","3,169.51","2,865.78","30.26K","9.30%"
"2021년 08월 06일","2,890.62","2,827.52","2,946.43","2,721.55","28.59K","2.23%"
"2021년 08월 05일","2,827.52","2,724.86","2,843.32","2,531.58","39.57K","3.75%"
"2021년 08월 04일","2,725.33","2,508.60","2,768.77","2,459.27","29.03K","8.65%"
"2021년 08월 03일","2,508.37","2,606.99","2,631.40","2,445.57","35.31K","-3.78%"
"2021년 08월 02일","2,606.99","2,555.13","2,664.82","2,508.70","35.57K","2.04%"
"2021년 08월 01일","2,554.78","2,531.41","2,696.68","2,512.20","41.80K","1.03%"
"2021년 07월 31일","2,528.85","2,459.61","2,552.09","2,421.11","22.78K","2.74%"
"2021년 07월 30일","2,461.33","2,382.51","2,469.43","2,316.75","35.78K","3.32%"
"2021년 07월 29일","2,382.29","2,299.52","2,399.15","2,266.72","28.51K","3.60%"
"2021년 07월 28일","2,299.52","2,300.35","2,344.70","2,244.23","40.42K","-0.08%"
"2021년 07월 27일","2,301.45","2,228.33","2,318.00","2,152.76","44.82K","3.30%"
"2021년 07월 26일","2,227.96","2,189.61","2,430.64","2,172.88","56.00K","1.71%"
"2021년 07월 25일","2,190.59","2,176.17","2,195.25","2,108.72","27.20K","1.83%"
"2021년 07월 24일","2,151.19","2,125.35","2,166.87","2,106.02","30.27K","1.25%"
"2021년 07월 23일","2,124.65","2,025.27","2,129.44","1,998.37","32.41K","4.92%"
"2021년 07월 22일","2,025.07","1,994.28","2,044.38","1,950.33","41.89K","1.54%"
"2021년 07월 21일","1,994.26","1,785.64","2,031.41","1,757.14","53.35K","11.72%"
"2021년 07월 20일","1,785.08","1,818.42","1,840.14","1,719.48","47.09K","-1.83%"
"2021년 07월 19일","1,818.36","1,890.89","1,916.45","1,806.53","31.02K","-3.84%"
"2021년 07월 18일","1,891.04","1,898.35","1,991.67","1,879.70","29.93K","-0.43%"
"2021년 07월 17일","1,899.28","1,876.51","1,917.64","1,849.44","33.07K","1.21%"
"2021년 07월 16일","1,876.52","1,918.88","1,963.96","1,850.48","34.82K","-2.14%"
"2021년 07월 15일","1,917.52","1,994.86","2,038.91","1,883.04","40.16K","-3.87%"
"2021년 07월 14일","1,994.73","1,940.59","2,017.67","1,865.58","37.38K","2.77%"
"2021년 07월 13일","1,940.99","2,031.35","2,043.39","1,918.67","35.89K","-4.49%"
"2021년 07월 12일","2,032.26","2,141.93","2,166.87","2,008.94","26.09K","-5.05%"
"2021년 07월 11일","2,140.43","2,110.69","2,172.80","2,082.46","22.42K","1.42%"
"2021년 07월 10일","2,110.48","2,146.33","2,191.01","2,076.51","33.41K","-1.67%"
"2021년 07월 09일","2,146.33","2,113.33","2,187.09","2,049.32","49.42K","1.51%"
"2021년 07월 08일","2,114.50","2,316.17","2,324.11","2,087.34","57.68K","-8.74%"
"2021년 07월 07일","2,317.13","2,321.40","2,396.83","2,308.63","42.72K","0.29%"
"2021년 07월 06일","2,310.43","2,196.90","2,337.41","2,196.90","85.00K","5.22%"
"2021년 07월 05일","2,195.73","2,321.43","2,321.43","2,195.73","75.18K","-5.40%"
"2021년 07월 04일","2,321.00","2,325.37","2,353.06","2,321.00","41.83K","4.40%"
"2021년 07월 03일","2,223.15","2,154.60","2,230.95","2,154.60","55.32K","3.18%"
"2021년 07월 02일","2,154.60","2,107.92","2,154.60","2,047.51","104.04K","2.19%"
"2021년 07월 01일","2,108.34","2,274.99","2,274.99","2,108.34","106.44K","-7.33%"
"2021년 06월 30일","2,274.99","2,164.88","2,274.99","2,159.56","101.79K","5.13%"
"2021년 06월 29일","2,163.91","2,084.40","2,163.91","2,084.40","88.28K","3.80%"
"2021년 06월 28일","2,084.60","1,981.71","2,084.60","1,981.71","81.78K","5.26%"
"2021년 06월 27일","1,980.35","1,830.73","1,980.35","1,826.90","66.22K","8.17%"
"2021년 06월 26일","1,830.86","1,811.22","1,830.86","1,765.13","118.69K","1.08%"
"2021년 06월 25일","1,811.23","1,989.68","1,989.68","1,811.23","122.15K","-8.97%"
"2021년 06월 24일","1,989.62","1,968.12","1,989.62","1,944.34","79.90K","1.11%"
"2021년 06월 23일","1,967.83","1,877.58","1,999.17","1,877.58","120.53K","4.81%"
"2021년 06월 22일","1,877.48","1,885.13","1,885.13","1,769.29","219.74K","-0.46%"
"2021년 06월 21일","1,886.25","2,245.58","2,245.58","1,886.25","219.79K","-15.92%"
"2021년 06월 20일","2,243.42","2,164.72","2,243.42","2,091.96","72.42K","3.60%"
"2021년 06월 19일","2,165.40","2,234.13","2,249.26","2,165.40","47.58K","-3.04%"
"2021년 06월 18일","2,233.37","2,372.86","2,372.86","2,233.37","63.01K","-5.86%"
"2021년 06월 17일","2,372.28","2,368.17","2,440.23","2,368.17","39.81K","0.17%"
"2021년 06월 16일","2,368.17","2,544.13","2,544.13","2,368.17","50.05K","-6.90%"
"2021년 06월 15일","2,543.82","2,580.81","2,583.29","2,543.82","37.46K","-1.46%"
"2021년 06월 14일","2,581.43","2,508.92","2,581.43","2,479.98","47.93K","2.93%"
"2021년 06월 13일","2,507.86","2,369.70","2,507.86","2,369.70","57.54K","5.87%"
"2021년 06월 12일","2,368.74","2,354.02","2,368.88","2,290.57","70.64K","0.63%"
"2021년 06월 11일","2,353.84","2,469.52","2,474.57","2,353.84","57.76K","-4.67%"
"2021년 06월 10일","2,469.08","2,609.93","2,609.93","2,469.08","61.47K","-5.42%"
"2021년 06월 09일","2,610.65","2,507.15","2,610.65","2,461.43","99.98K","4.13%"
"2021년 06월 08일","2,507.15","2,591.92","2,591.92","2,484.32","142.73K","-3.35%"
"2021년 06월 07일","2,593.95","2,712.67","2,775.62","2,593.95","72.95K","-4.37%"
"2021년 06월 06일","2,712.42","2,628.13","2,712.42","2,628.13","52.98K","3.18%"
"2021년 06월 05일","2,628.85","2,688.37","2,742.88","2,622.22","86.78K","-2.17%"
"2021년 06월 04일","2,687.05","2,857.02","2,857.02","2,638.18","109.86K","-5.94%"
"2021년 06월 03일","2,856.64","2,705.24","2,856.64","2,704.66","71.74K","5.56%"
"2021년 06월 02일","2,706.19","2,633.79","2,706.19","2,633.79","85.46K","2.77%"
"2021년 06월 01일","2,633.30","2,706.16","2,730.19","2,568.20","213.03K","-2.69%"
"2021년 05월 31일","2,706.12","2,385.90","2,706.12","2,357.89","236.45K","13.38%"
"2021년 05월 30일","2,386.68","2,279.18","2,429.09","2,279.18","255.09K","4.76%"
"2021년 05월 29일","2,278.15","2,411.65","2,411.65","2,278.15","382.42K","-5.53%"
"2021년 05월 28일","2,411.45","2,739.73","2,739.73","2,350.81","347.63K","-12.01%"
"2021년 05월 27일","2,740.74","2,884.17","2,884.17","2,740.74","248.93K","-4.97%"
"2021년 05월 26일","2,884.17","2,704.67","2,884.17","2,704.67","319.42K","6.63%"
"2021년 05월 25일","2,704.90","2,648.50","2,704.90","2,575.49","503.18K","2.13%"
"2021년 05월 24일","2,648.50","2,097.31","2,648.50","2,097.31","566.34K","26.46%"
"2021년 05월 23일","2,094.28","2,294.41","2,319.10","2,014.34","891.86K","-8.68%"
"2021년 05월 22일","2,293.37","2,431.09","2,468.35","2,293.37","599.06K","-5.67%"
"2021년 05월 21일","2,431.17","2,767.88","2,857.54","2,431.17","643.22K","-12.16%"
"2021년 05월 20일","2,767.66","2,445.08","2,767.66","2,445.08","582.27K","13.63%"
"2021년 05월 19일","2,435.65","3,376.01","3,421.00","2,435.65","730.14K","-27.86%"
"2021년 05월 18일","3,376.30","3,282.72","3,512.56","3,282.72","198.00K","2.97%"
"2021년 05월 17일","3,278.92","3,580.24","3,580.24","3,227.97","272.61K","-8.40%"
"2021년 05월 16일","3,579.78","3,645.65","3,831.95","3,579.78","162.02K","-1.79%"
"2021년 05월 15일","3,645.15","4,073.04","4,073.04","3,645.15","140.08K","-10.50%"
