"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 08월 09일","46,284.3","43,794.9","46,460.7","42,824.1","117.08K","5.69%"
"2021년 08월 08일","43,792.8","44,584.9","45,284.1","43,314.4","105.25K","-1.84%"
"2021년 08월 07일","44,614.2","42,784.7","44,697.3","42,611.0","112.84K","4.25%"
"2021년 08월 06일","42,795.4","40,868.4","43,253.4","39,905.4","111.93K","4.72%"
"2021년 08월 05일","40,867.2","39,734.4","41,366.3","37,365.4","130.60K","2.84%"
"2021년 08월 04일","39,736.9","38,188.4","39,956.5","37,556.0","79.22K","4.21%"
"2021년 08월 03일","38,130.3","39,167.4","39,766.6","37,688.2","0.26K","-2.65%"
"2021년 08월 02일","39,168.4","39,869.8","40,449.0","38,692.5","74.81K","-1.78%"
"2021년 08월 01일","39,878.3","41,510.0","42,565.0","39,556.5","80.33K","-4.03%"
"2021년 07월 31일","41,553.7","42,201.4","42,285.3","41,066.4","44.65K","-1.54%"
"2021년 07월 30일","42,203.4","40,001.1","42,264.4","38,358.4","98.45K","5.50%"
"2021년 07월 29일","40,001.4","40,009.0","40,630.7","39,340.8","75.30K","-0.00%"
"2021년 07월 28일","40,003.2","39,450.4","40,862.2","38,883.8","148.92K","1.40%"
"2021년 07월 27일","39,452.0","37,294.3","39,455.9","36,427.4","100.24K","5.84%"
"2021년 07월 26일","37,276.6","35,392.3","40,522.9","35,236.7","177.63K","5.33%"
"2021년 07월 25일","35,391.1","34,392.5","35,391.1","33,881.3","65.10K","4.63%"
"2021년 07월 24일","33,824.8","33,600.5","33,955.0","33,412.9","67.14K","0.66%"
"2021년 07월 23일","33,603.3","32,297.9","33,605.6","32,041.1","66.15K","4.04%"
"2021년 07월 22일","32,298.9","32,131.7","32,585.4","31,729.4","64.87K","0.52%"
"2021년 07월 21일","32,131.4","29,794.7","32,794.6","29,519.3","118.34K","7.85%"
"2021년 07월 20일","29,793.8","30,835.4","31,040.8","29,310.2","97.46K","-3.38%"
"2021년 07월 19일","30,837.2","31,782.9","31,887.0","30,478.2","77.48K","-2.98%"
"2021년 07월 18일","31,785.4","31,517.9","32,408.2","31,220.6","57.01K","0.85%"
"2021년 07월 17일","31,518.6","31,384.4","31,914.8","31,207.8","58.06K","0.40%"
"2021년 07월 16일","31,394.0","31,842.3","32,239.8","31,062.2","70.48K","-1.40%"
"2021년 07월 15일","31,840.5","32,820.5","33,157.0","31,175.8","76.95K","-2.99%"
"2021년 07월 14일","32,820.7","32,727.8","33,051.9","31,611.2","69.56K","0.28%"
"2021년 07월 13일","32,728.1","33,106.1","33,307.7","32,259.5","60.04K","-1.16%"
